num_nodes,num_edges,density,avg_clustering,diameter,num_components,giant_component_size,avg_degree,max_betweenness,degree_centralization,avg_closeness,release,network_jaccard,nodes_added,nodes_removed,density_change,centralization_change,turnover_rate
295,1423,0.032814481724893346,0.3596290195152521,6,94,0.6779661016949152,9.647457627118644,0.06401021925172892,0.7237633550507998,0.0,3.9.1,0.460801393728223,11,262,0.019836022874874862,-0.06951405630014862,0.03728813559322034
140,640,0.065775950668037,0.40388869099165553,4,39,0.7142857142857143,9.142857142857142,0.0706248265626467,0.6590178571428571,0.0,3.7.3,0.234590065828845,5,160,0.032961468943143654,-0.0647454979079427,0.03571428571428571
205,1022,0.04887613582018173,0.39929984693082904,6,54,0.7365853658536585,9.970731707317073,0.0890772815816092,0.6835950551286334,0.0,3.8.2,0.38154613466334164,65,0,-0.01689981484785527,0.02457719798577629,0.3170731707317073
141,557,0.05643363728470111,0.334185043749231,6,42,0.6950354609929078,7.900709219858156,0.052632366707320535,0.6695188255217288,0.0,4.0.1,0.2723609991941982,27,91,0.0075575014645193825,-0.014076229606904578,0.19148936170212766
472,1926,0.017326999892043615,0.2802996984540637,6,182,0.6165254237288136,8.161016949152541,0.0404230638258906,0.7735976908319693,0.0,3.7.0,0.17344045368620037,331,0,-0.039106637392657496,0.10407886531024046,0.701271186440678
207,853,0.04000750433844567,0.36528555144546154,6,56,0.7294685990338164,8.241545893719806,0.06439550496094822,0.695601202915541,0.0,4.1.0,0.2563291139240506,3,268,0.02268050444640205,-0.07799648791642833,0.014492753623188406
461,1925,0.01815523908327832,0.2859746284909793,6,169,0.6355748373101953,8.351409978308027,0.04633726450170764,0.7674203453812998,0.0,4.0.0,0.2604355716878403,254,0,-0.021852265255167348,0.07181914246575882,0.5509761388286334
100,184,0.037171717171717175,0.24075061793025176,7,33,0.68,3.68,0.14224780034340473,0.6489673913043479,0.0,4.1.1,0.05029880478087649,2,363,0.019016478088438857,-0.11845295407695189,0.02
245,1088,0.036400133824021415,0.35062083947153494,5,70,0.710204081632653,8.881632653061224,0.06025715111169577,0.7091123949579832,0.0,3.9.2,0.08439897698209718,145,0,-0.0007715833476957604,0.06014500365363529,0.5918367346938775
174,629,0.041791243106770314,0.3034182019175316,5,53,0.6896551724137931,7.2298850574712645,0.07462504383682049,0.6924602086873892,0.0,4.0.2,0.3248456790123457,0,71,0.005391109282748899,-0.01665218627059395,0.0
68,91,0.03994732221246708,0.2604350714644832,8,20,0.7058823529411765,2.676470588235294,0.20721985311537552,0.5775694893341952,0.0,4.1.2,0.07784431137724551,0,106,-0.0018439208943032345,-0.11489071935319406,0.0
142,298,0.029767256018379783,0.23558534813200577,6,49,0.6549295774647887,4.197183098591549,0.12962097623520946,0.6774033462520086,0.0,4.2.0,0.12103746397694524,74,0,-0.010180066194087296,0.09983385691781343,0.5211267605633803
105,191,0.03498168498168498,0.24376100973354978,7,35,0.6666666666666666,3.638095238095238,0.14523987405660393,0.6532036898529046,0.0,4.3.0,0.3109919571045576,0,37,0.0052144289633052,-0.02419965639910404,0.0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.0.0,0.0,0,0,0.0,0.0,0.0
